-0.71838556	0.673014613	-0.175992947	3	3	3	10	10	10	10
-0.719296299	0.682221448	0.131098172	3	3	3	3	3	3	3
-0.778966253	-0.492181785	0.388546865	4	4	7	7	7	7	7
-0.840405012	0.347718075	-0.415706094	10	10	10	10	10	10	10
-0.898040011	0.389028704	-0.205379665	10	10	10	10	10	10	10
-0.80939584	0.075772159	-0.582354664	6	6	6	6	6	6	6
-0.733074125	-0.56398157	0.380167222	4	7	7	7	7	7	7
-0.607954815	-0.61739126	-0.499218364	8	8	8	8	8	8	8
-0.642482753	0.733970125	0.220235712	3	3	3	3	3	3	3
-0.5968397	0.541572798	0.592014592	3	9	9	9	9	9	9
-0.833249662	-0.356187051	0.422877979	4	4	7	7	7	7	7
-0.839787839	-0.015595064	-0.542690685	6	6	6	6	6	6	6
-0.665174015	-0.24943614	-0.703793394	6	6	6	6	6	6	6
-0.934306094	0.284846176	0.214324002	5	5	5	5	5	5	5
-0.494379153	0.699044728	0.516648548	3	3	3	3	9	9	9
-0.279717779	0.912273482	0.299190673	3	3	3	3	3	3	3
-0.824278862	0.565827209	0.020097911	3	3	3	3	3	3	3
-0.704197921	0.236764552	-0.669363754	10	10	10	6	6	6	6
-0.970092825	-0.086463445	-0.226812663	6	6	4	4	4	4	4
-0.650335337	-0.098500276	-0.753234124	6	6	6	6	6	6	6
-0.9089151	0.243474415	-0.338516692	10	10	10	10	10	10	10
-0.393072578	0.230592674	-0.89012413	10	10	6	6	6	6	6
-0.628706311	-0.699102232	-0.340564888	2	2	2	2	2	2	2
-0.806790337	-0.587745216	-0.06037311	4	4	4	4	4	4	4
-0.525796823	0.846791078	0.080514409	3	3	3	3	3	3	3
-0.506182549	-0.774040518	0.38031632	7	7	7	7	7	7	7
-0.513809904	-0.250285928	-0.820582925	6	6	6	6	6	6	6
-0.612115422	-0.358694886	-0.704735901	6	8	8	8	8	8	8
-0.950050669	-0.239090444	-0.200597823	6	4	4	4	4	4	4
-0.482969034	0.835948115	0.260637029	3	3	3	3	3	3	3
-0.567470975	0.801049886	0.190514494	3	3	3	3	3	3	3
-0.449230567	0.863896138	0.227761632	3	3	3	3	3	3	3
